"V1","V2"
"Hermann Weyeneth","Jürg Scherrer"
"J. Alexander Baumann","Jürg Scherrer"
"Jakob Freund","Jürg Scherrer"
"Jean-François Leuba","Jürg Scherrer"
"Jean-Michel Gros","Jürg Scherrer"
"Jean-Nicolas Philipona","Jürg Scherrer"
"Johannes Randegger","Jürg Scherrer"
"Josef Kühne","Jürg Scherrer"
"Josef Leu","Jürg Scherrer"
"Christine Egerszegi-Obrist","Karl Tschuppert"
"Hans Fehr","Karl Tschuppert"
"Hans Rudolf Gysin","Karl Tschuppert"
"Albrecht Rychen","Käthi Bangerter"
"Claude Frey","Käthi Bangerter"
"François Loeb","Käthi Bangerter"
"Hans Fehr","Käthi Bangerter"
"Hans Rudolf Gysin","Käthi Bangerter"
"Anita Thanei","Kathrin Hilber"
"Didier Berberat","Kathrin Hilber"
"Franco Cavalli","Kathrin Hilber"
"François Loeb","Lili Nabholz"
"Jost Gross","Lili Nabholz"
"Alexander Tschäppät","Liliane Maury Pasquier"
"Andreas Gross","Liliane Maury Pasquier"
"Anita Thanei","Liliane Maury Pasquier"
"Armin Jans","Liliane Maury Pasquier"
"Barbara Haering","Liliane Maury Pasquier"
"Christian Grobet","Liliane Maury Pasquier"
"Christine Keller","Liliane Maury Pasquier"
"Claude Frey","Liliane Maury Pasquier"
"Didier Berberat","Liliane Maury Pasquier"
"Franco Cavalli","Liliane Maury Pasquier"
"François Borel","Liliane Maury Pasquier"
"Jean-Claude Rennwald","Liliane Maury Pasquier"
"Jost Gross","Liliane Maury Pasquier"
"Christine Egerszegi-Obrist","Lisbeth Fehr"
"Ernst Hasler","Lisbeth Fehr"
"Flavio Maspoli","Lisbeth Fehr"
"Hans Fehr","Lisbeth Fehr"
"Hans Rudolf Gysin","Lisbeth Fehr"
"Claude Frey","Luzi Stamm"
"Flavio Maspoli","Luzi Stamm"
"Hans Fehr","Luzi Stamm"
"Hans Rudolf Gysin","Luzi Stamm"
"Jürg Scherrer","Luzi Stamm"
"Flavio Maspoli","Manfred Aregger"
"Hans Fehr","Manfred Aregger"
"Hans Rudolf Gysin","Manfred Aregger"
"Hans Werner Widrig","Manfred Aregger"
"Hansueli Raggenbass","Manfred Aregger"
"Josef Kunz","Manfred Aregger"
"Albrecht Rychen","Marc Frédéric Suter"
"Claude Frey","Marc Frédéric Suter"
"François Loeb","Marc Frédéric Suter"
"Hans Rudolf Gysin","Marc Frédéric Suter"
"Jean-Michel Gros","Marc Frédéric Suter"
"Jost Gross","Marc Frédéric Suter"
"Claude Frey","Marcel Sandoz"
"Hans Rudolf Gysin","Marcel Sandoz"
"Jürg Scherrer","Marcel Sandoz"
"Agnes Weber","Margrith von Felten"
"Andreas Gross","Margrith von Felten"
"Angeline Fankhauser","Margrith von Felten"
"Anita Thanei","Margrith von Felten"
"Armin Jans","Margrith von Felten"
"Barbara Haering","Margrith von Felten"
"Christian Grobet","Margrith von Felten"
"Christiane Jaquet-Berger","Margrith von Felten"
"Didier Berberat","Margrith von Felten"
"Erwin Jutzet","Margrith von Felten"
"François Borel","Margrith von Felten"
"Hans Zbinden","Margrith von Felten"
"Hildegard Fässler-Osterwalder","Margrith von Felten"
"Jean-Nils de Dardel","Margrith von Felten"
"Jost Gross","Margrith von Felten"
"Claude Frey","Marguerite Florio"
"Jean-Michel Gros","Marguerite Florio"
"Alexander Tschäppät","Maria Bernasconi"
"Andrea Hämmerle","Maria Bernasconi"
"Andreas Gross","Maria Bernasconi"
"Andreas Herczog","Maria Bernasconi"
"Anita Thanei","Maria Bernasconi"
"Armin Jans","Maria Bernasconi"
"Cécile Bühlmann","Maria Bernasconi"
"Christian Grobet","Maria Bernasconi"
"Christiane Jaquet-Berger","Maria Bernasconi"
"Christine Goll","Maria Bernasconi"
"Claude Frey","Maria Bernasconi"
"Didier Berberat","Maria Bernasconi"
"Doris Stump","Maria Bernasconi"
"Francine Jeanprêtre","Maria Bernasconi"
"François Borel","Maria Bernasconi"
"Hans Zbinden","Maria Bernasconi"
"Hildegard Fässler-Osterwalder","Maria Bernasconi"
"Jacqueline Fehr","Maria Bernasconi"
"Jean-Claude Rennwald","Maria Bernasconi"
"Jost Gross","Maria Bernasconi"
"Liliane Maury Pasquier","Maria Bernasconi"
"Margrith von Felten","Maria Bernasconi"
"Flavio Maspoli","Markus Ruf"
"Hans Steffen","Markus Ruf"
"Flavio Maspoli","Massimo Pini"
"Ernst Hasler","Max Binder"
"Flavio Maspoli","Max Binder"
"François Loeb","Max Binder"
"Hans Fehr","Max Binder"
"Hans Rudolf Gysin","Max Binder"
"Jürg Scherrer","Max Binder"
"Hans Rudolf Gysin","Melchior Ehrler"
"Hans Werner Widrig","Melchior Ehrler"
"Hansueli Raggenbass","Melchior Ehrler"
"Jean-Charles Simon","Melchior Ehrler"
"Jürg Scherrer","Melchior Ehrler"
"Flavio Maspoli","Michael E. Dreher"
"Hans Fehr","Michael E. Dreher"
"Josef Kunz","Michael E. Dreher"
"Jürg Scherrer","Michael E. Dreher"
"Alexander Tschäppät","Michel Béguelin"
"Andreas Gross","Michel Béguelin"
